market,symbol,quote_symbol,display_name,universe_tags
BIST,BFREN,BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,BIENY,BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,BIST
BIST,BIGCH,BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,BIST
BIST,BIMAS,BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,BIST
BIST,BIOEN,BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,BIST
BIST,BIZIM,BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,BIST
BIST,BLCYT,BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,BIST
BIST,BMSCH,BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,BIST
BIST,BMSTL,BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,BIST
BIST,BNTAS,BNTAS.IS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,BIST
BIST,BOBET,BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,BIST
BIST,BOSSA,BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,BIST
BIST,BRISA,BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,BIST
BIST,BRKO,BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,BIST
BIST,BRKSN,BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,BIST
BIST,BRKVY,BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.,BIST
BIST,BRLSM,BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,BIST
BIST,BRMEN,BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,BIST
BIST,BRSAN,BRSAN.IS,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,BIST
BIST,BRYAT,BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,BIST
BIST,BSOKE,BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,BIST
BIST,BTCIM,BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,BIST
BIST,BUCIM,BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.,BIST
BIST,BURCE,BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BIST
BIST,BURVA,BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BIST
BIST,BVSAN,BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,BIST
BIST,BYDNR,BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.,BIST
BIST,CANTE,CANTE.IS,ÇAN2 TERMİK A.Ş.,BIST
BIST,CASA,CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,BIST
BIST,CCOLA,CCOLA.IS,COCA-COLA İÇECEK A.Ş.,BIST
BIST,CELHA,CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,BIST
BIST,CEMAS,CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,BIST
BIST,CEMTS,CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,BIST
BIST,CEOEM,CEOEM.IS,CEO EVENT MEDYA A.Ş.,BIST
BIST,CIMSA,CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,BIST
BIST,CLEBI,CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.,BIST
BIST,CMBTN,CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,BIST
BIST,CMENT,CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,BIST
BIST,CONSE,CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,BIST
BIST,COSMO,COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.,BIST
BIST,CRDFA,CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.,BIST
BIST,CRFSA,CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,BIST
BIST,CUSAN,CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,BIST
BIST,CVKMD,CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,CWENE,CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,BIST
BIST,DAGI,DAGI.IS,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,BIST
BIST,DAPGM,DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,BIST
BIST,DARDL,DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,BIST
BIST,DENGE,DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.,BIST
BIST,DERHL,DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.,BIST
BIST,DERIM,DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,DESA,DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,DESPC,DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,BIST
BIST,DEVA,DEVA.IS,DEVA HOLDİNG A.Ş.,BIST
BIST,DGATE,DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,BIST
BIST,DGGYO,DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,DGNMO,DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,BIST
BIST,DIRIT,DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,BIST
BIST,DITAS,DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,BIST
BIST,DMRGD,DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,BIST
BIST,DMSAS,DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,BIST
BIST,DNISI,DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,BIST
BIST,DOAS,DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,BIST
BIST,DOGUB,DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,BIST
BIST,DOHOL,DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,BIST
BIST,DOKTA,DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,BIST
BIST,DURDO,DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,BIST
BIST,DYOBY,DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,BIST
BIST,DZGYO,DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,EBEBK,EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.,BIST
BIST,ECILC,ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,BIST
BIST,ECZYT,ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,BIST
BIST,EDATA,EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,BIST
BIST,EDIP,EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,BIST
BIST,EGEEN,EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.,BIST
BIST,EGEPO,EGEPO.IS,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,BIST
BIST,EGGUB,EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.,BIST
BIST,EGPRO,EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.,BIST
BIST,EGSER,EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,BIST
BIST,EKGYO,EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,EKIZ,EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,BIST
BIST,EKSUN,EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,BIST
BIST,ELITE,ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,BIST
BIST,EMKEL,EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,BIST
BIST,EMNIS,EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,BIST
BIST,ENERY,ENERY.IS,ENERYA ENERJİ A.Ş.,BIST
BIST,ENJSA,ENJSA.IS,ENERJİSA ENERJİ A.Ş.,BIST
BIST,ENKAI,ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.,BIST
BIST,ENSRI,ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,BIST
BIST,EPLAS,EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,BIST
BIST,ERBOS,ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,BIST
BIST,ERCB,ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,BIST
BIST,EREGL,EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,BIST
BIST,ERSU,ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.,BIST
BIST,ESCAR,ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,BIST
BIST,ESCOM,ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.,BIST
