market,symbol,quote_symbol,display_name,universe_tags
NASDAQ,SCZM,SCZM,Santacruz Silver Mining Ltd. - Common Shares,NASDAQ
NASDAQ,SDGR,SDGR,"Schrodinger, Inc. - Common Stock",NASDAQ
NASDAQ,SDHI,SDHI,Siddhi Acquisition Corp - Class A Common stock,NASDAQ
NASDAQ,SDM,SDM,Smart Digital Group Limited - Ordinary Shares,NASDAQ
NASDAQ,SDOT,SDOT,Sadot Group Inc. - Common Stock,NASDAQ
NASDAQ,SDST,SDST,Stardust Power Inc. - Common Stock,NASDAQ
NASDAQ,SEAT,SEAT,Vivid Seats Inc. - Class A common stock,NASDAQ
NASDAQ,SEDG,SEDG,"SolarEdge Technologies, Inc. - Common Stock",NASDAQ
NASDAQ,SEED,SEED,Origin Agritech Limited - Ordinary Shares,NASDAQ
NASDAQ,SEER,SEER,"Seer, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SEGG,SEGG,Sports Entertainment Gaming Global Corporation - Common Stock,NASDAQ
NASDAQ,SEIC,SEIC,SEI Investments Company - Common Stock,NASDAQ
NASDAQ,SELF,SELF,"Global Self Storage, Inc. - Common Stock",NASDAQ
NASDAQ,SELX,SELX,Semilux International Ltd. - Ordinary Shares,NASDAQ
NASDAQ,SENEA,SENEA,Seneca Foods Corp. - Class A Common Stock,NASDAQ
NASDAQ,SENEB,SENEB,Seneca Foods Corp. - Class B Common Stock,NASDAQ
NASDAQ,SENS,SENS,"Senseonics Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,SEPN,SEPN,"Septerna, Inc. - Common Stock",NASDAQ
NASDAQ,SERA,SERA,"Sera Prognostics, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SERV,SERV,Serve Robotics Inc. - Common Stock,NASDAQ
NASDAQ,SEV,SEV,Aptera Motors Corp. - Class B Common Stock,NASDAQ
NASDAQ,SEZL,SEZL,Sezzle Inc. - Common Stock,NASDAQ
NASDAQ,SFBC,SFBC,"Sound Financial Bancorp, Inc. - Common Stock",NASDAQ
NASDAQ,SFD,SFD,"Smithfield Foods, Inc. - Common Stock",NASDAQ
NASDAQ,SFHG,SFHG,Samfine Creation Holdings Group Limited - Class A Ordinary Share,NASDAQ
NASDAQ,SFIX,SFIX,"Stitch Fix, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SFM,SFM,"Sprouts Farmers Market, Inc. - Common Stock",NASDAQ
NASDAQ,SFNC,SFNC,Simmons First National Corporation - Common Stock,NASDAQ
NASDAQ,SFST,SFST,"Southern First Bancshares, Inc. - Common Stock",NASDAQ
NASDAQ,SFWL,SFWL,Shengfeng Development Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,SGA,SGA,"Saga Communications, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SGC,SGC,"Superior Group of Companies, Inc. - Common Stock",NASDAQ
NASDAQ,SGHT,SGHT,"Sight Sciences, Inc. - Common Stock",NASDAQ
NASDAQ,SGLY,SGLY,Singularity Future Technology Ltd. - Common Stock,NASDAQ
NASDAQ,SGML,SGML,Sigma Lithium Corporation - common shares,NASDAQ
NASDAQ,SGMO,SGMO,"Sangamo Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,SGMT,SGMT,Sagimet Biosciences Inc. - Series A Common Stock,NASDAQ
NASDAQ,SGP,SGP,"SpyGlass Pharma, Inc. - Common Stock",NASDAQ
NASDAQ,SGRP,SGRP,"SPAR Group, Inc. - Common Stock",NASDAQ
NASDAQ,SGRY,SGRY,"Surgery Partners, Inc. - Common Stock",NASDAQ
NASDAQ,SHAZ,SHAZ,"SharonAI Holdings, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SHBI,SHBI,"Shore Bancshares, Inc. - Common Stock",NASDAQ
NASDAQ,SHC,SHC,Sotera Health Company - Common Stock,NASDAQ
NASDAQ,SHEN,SHEN,Shenandoah Telecommunications Co - Common Stock,NASDAQ
NASDAQ,SHFS,SHFS,"SHF Holdings, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SHIM,SHIM,Shimmick Corporation - Common Stock,NASDAQ
NASDAQ,SHIP,SHIP,Seanergy Maritime Holdings Corp. - Common Stock,NASDAQ
NASDAQ,SHLS,SHLS,"Shoals Technologies Group, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SHMD,SHMD,SCHMID Group N.V. - Class A Ordinary Shares,NASDAQ
NASDAQ,SHOO,SHOO,"Steven Madden, Ltd. - Common Stock",NASDAQ
NASDAQ,SHPH,SHPH,"Shuttle Pharmaceuticals Holdings, Inc. - common stock",NASDAQ
NASDAQ,SIBN,SIBN,"SI-BONE, Inc. - Common Stock",NASDAQ
NASDAQ,SIDU,SIDU,"Sidus Space, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SIEB,SIEB,Siebert Financial Corp. - Common Stock,NASDAQ
NASDAQ,SIGA,SIGA,SIGA Technologies Inc. - Common Stock,NASDAQ
NASDAQ,SIGI,SIGI,"Selective Insurance Group, Inc. - Common Stock",NASDAQ
NASDAQ,SILC,SILC,Silicom Ltd - Ordinary Shares,NASDAQ
NASDAQ,SILO,SILO,"Silo Pharma, Inc. - Common Stock",NASDAQ
NASDAQ,SIMA,SIMA,SIM Acquisition Corp. I - Class A Ordinary Shares,NASDAQ
NASDAQ,SIMO,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",NASDAQ
NASDAQ,SINT,SINT,"SiNtx Technologies, Inc. - Common Stock",NASDAQ
NASDAQ,SION,SION,"Sionna Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,SIRI,SIRI,SiriusXM Holdings Inc. - Common Stock,NASDAQ
NASDAQ,SITM,SITM,SiTime Corporation - Common Stock,NASDAQ
NASDAQ,SJ,SJ,Scienjoy Holding Corporation - Class A Ordinary Shares,NASDAQ
NASDAQ,SKBL,SKBL,Skyline Builders Group Holding Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,SKIN,SKIN,The Beauty Health Company - Class A Common Stock,NASDAQ
NASDAQ,SKK,SKK,SKK Holdings Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,SKWD,SKWD,"Skyward Specialty Insurance Group, Inc. - Common Stock",NASDAQ
NASDAQ,SKYE,SKYE,"Skye Bioscience, Inc. - Common Stock",NASDAQ
NASDAQ,SKYQ,SKYQ,Sky Quarry Inc. - Common Stock,NASDAQ
NASDAQ,SKYT,SKYT,"SkyWater Technology, Inc. - Common Stock",NASDAQ
NASDAQ,SKYW,SKYW,"SkyWest, Inc. - Common Stock",NASDAQ
NASDAQ,SKYX,SKYX,SKYX Platforms Corp. - Common Stock,NASDAQ
NASDAQ,SLAB,SLAB,"Silicon Laboratories, Inc. - Common Stock",NASDAQ
NASDAQ,SLDB,SLDB,Solid Biosciences Inc. - Common Stock,NASDAQ
NASDAQ,SLDE,SLDE,"Slide Insurance Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,SLDP,SLDP,"Solid Power, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SLE,SLE,"Super League Enterprise, Inc. - Common Stock",NASDAQ
NASDAQ,SLGB,SLGB,Smart Logistics Global Limited - Ordinary Shares,NASDAQ
NASDAQ,SLGL,SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,NASDAQ
NASDAQ,SLM,SLM,SLM Corporation - Common Stock,NASDAQ
NASDAQ,SLMT,SLMT,Brera Holdings PLC - Class B Ordinary Shares,NASDAQ
NASDAQ,SLNG,SLNG,"Stabilis Solutions, Inc. - Common Stock",NASDAQ
NASDAQ,SLNH,SLNH,"Soluna Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,SLNO,SLNO,"Soleno Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,SLP,SLP,"Simulations Plus, Inc. - Common Stock",NASDAQ
NASDAQ,SLSN,SLSN,"Solesence, Inc. - Common stock",NASDAQ
NASDAQ,SLXN,SLXN,Silexion Therapeutics Corp - Ordinary Shares,NASDAQ
NASDAQ,SMBC,SMBC,"Southern Missouri Bancorp, Inc. - Common Stock",NASDAQ
NASDAQ,SMCI,SMCI,"Super Micro Computer, Inc. - Common Stock",NASDAQ;SP500
NASDAQ,SMID,SMID,Smith-Midland Corporation - Common Stock,NASDAQ
NASDAQ,SMMT,SMMT,Summit Therapeutics Inc. - Common Stock,NASDAQ
NASDAQ,SMPL,SMPL,The Simply Good Foods Company - Common Stock,NASDAQ
NASDAQ,SMSI,SMSI,"Smith Micro Software, Inc. - Common Stock",NASDAQ
NASDAQ,SMTC,SMTC,Semtech Corporation - Common Stock,NASDAQ
NASDAQ,SMTI,SMTI,Sanara MedTech Inc. - Common Stock,NASDAQ
NASDAQ,SMTK,SMTK,"SmartKem, Inc. - Common Stock",NASDAQ
NASDAQ,SMX,SMX,SMX (Security Matters) Public Limited Company - Ordinary Shares,NASDAQ
NASDAQ,SMXT,SMXT,Solarmax Technology Inc. - Common Stock,NASDAQ
NASDAQ,SNAL,SNAL,"Snail, Inc. - Class A Common Stock",NASDAQ
NASDAQ,SNBR,SNBR,Sleep Number Corporation - Common Stock,NASDAQ
NASDAQ,SNCY,SNCY,"Sun Country Airlines Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,SND,SND,"Smart Sand, Inc. - Common Stock",NASDAQ
NASDAQ,SNDK,SNDK,Sandisk Corporation - Common Stock,NASDAQ;SP500
NASDAQ,SNDL,SNDL,SNDL Inc. - Common Shares,NASDAQ
NASDAQ,SNDX,SNDX,"Syndax Pharmaceuticals, Inc. - Common Stock",NASDAQ
NASDAQ,SNES,SNES,"SenesTech, Inc. - Common Stock",NASDAQ
NASDAQ,SNEX,SNEX,StoneX Group Inc. - Common Stock,NASDAQ
NASDAQ,SNFCA,SNFCA,Security National Financial Corporation - Class A Common Stock,NASDAQ
NASDAQ,SNGX,SNGX,"Soligenix, Inc. - Common Stock",NASDAQ
NASDAQ,SNOA,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock",NASDAQ
NASDAQ,SNPS,SNPS,"Synopsys, Inc. - Common Stock",NASDAQ;SP500
NASDAQ,SNSE,SNSE,"Sensei Biotherapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,SNT,SNT,Senstar Technologies Corporation - Common Shares,NASDAQ
NASDAQ,SNTG,SNTG,Sentage Holdings Inc. - Class A Ordinary Shares,NASDAQ
NASDAQ,SNTI,SNTI,"Senti Biosciences, Inc. - Common Stock",NASDAQ
NASDAQ,SNWV,SNWV,"SANUWAVE Health, Inc. - Common Stock",NASDAQ
NASDAQ,SNYR,SNYR,Synergy CHC Corp. - Common Stock,NASDAQ
NASDAQ,SOBR,SOBR,"SOBR Safe, Inc. - Common Stock",NASDAQ
NASDAQ,SOCA,SOCA,Solarius Capital Acquisition Corp. - Class A Ordinary Share,NASDAQ
NASDAQ,SOFI,SOFI,"SoFi Technologies, Inc. - Common Stock",NASDAQ
NASDAQ,SOGP,SOGP,Sound Group Inc. - American Depositary Shares,NASDAQ
