symbol,quote_symbol,name,country,is_bist,is_nasdaq,is_sp500,is_tefas,universe_tags
AKSA,AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,TR,True,False,False,False,BIST
AKSEN,AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,TR,True,False,False,False,BIST
AKSGY,AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
AKSUE,AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
AKU,AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AKYHO,AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.,TR,True,False,False,False,BIST
AL4,AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,TR,False,False,False,True,TEFAS
AL5,AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AL6,AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,TR,False,False,False,True,TEFAS
AL7,AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,TR,False,False,False,True,TEFAS
ALARK,ALARK.IS,ALARKO HOLDİNG A.Ş.,TR,True,False,False,False,BIST
ALBRK,ALBRK.IS,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,TR,True,False,False,False,BIST
ALC,ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
ALCAR,ALCAR.IS,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ALCTL,ALCTL.IS,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,TR,True,False,False,False,BIST
ALE,ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,TR,False,False,False,True,TEFAS
ALFAS,ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ALGYO,ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
ALKA,ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ALKIM,ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.,TR,True,False,False,False,BIST
ALMAD,ALMAD.IS,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
AN1,AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,TR,False,False,False,True,TEFAS
ANELE,ANELE.IS,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ANGEN,ANGEN.IS,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ANHYT,ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.,TR,True,False,False,False,BIST
ANL,ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,TR,False,False,False,True,TEFAS
ANSGR,ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,TR,True,False,False,False,BIST
ANZ,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AOJ,AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AOY,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,TR,False,False,False,True,TEFAS
AP2,AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,TR,False,False,False,True,TEFAS
AP4,AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AP5,AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AP6,AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AP7,AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TR,False,False,False,True,TEFAS
APJ,APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,TR,False,False,False,True,TEFAS
APP,APP,AK PORTFÖY P1 SERBEST ÖZEL FON,TR,False,False,False,True,TEFAS
APT,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,TR,False,False,False,True,TEFAS
ARASE,ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,TR,True,False,False,False,BIST
ARCLK,ARCLK.IS,ARÇELİK A.Ş.,TR,True,False,False,False,BIST
ARDYZ,ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,TR,True,False,False,False,BIST
ARE,ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,TR,False,False,False,True,TEFAS
ARENA,ARENA.IS,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ARF,ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,TR,False,False,False,True,TEFAS
ARL,ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,TR,False,False,False,True,TEFAS
ARM,ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,TR,False,False,False,True,TEFAS
ARP,ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,TR,False,False,False,True,TEFAS
ARSAN,ARSAN.IS,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,TR,True,False,False,False,BIST
ARZUM,ARZUM.IS,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
AS1,AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AS3,AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,TR,False,False,False,True,TEFAS
ASELS,ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,TR,True,False,False,False,BIST
ASGYO,ASGYO.IS,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TR,True,False,False,False,BIST
