quote_symbol,display_name_quote,last,change,change_percent,volume,open,high,low,prev_close,currency,exchange_name,exchange_code,market_state,market_time
AOJ,,1.540194,-0.020975999999999884,-1.343607678856235,,,,,1.56117,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AOY,,0.355912,0.005163000000000029,1.4719927925667726,,,,,0.350749,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AP2,,3.563653,-0.00726799999999983,-0.20353292609945253,,,,,3.570921,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AP4,,1.201863,0.1149159999999998,10.572364613913997,,,,,1.086947,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AP5,,1.029731,-0.026153000000000093,-2.4768819302120395,,,,,1.055884,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AP6,,8.34767,-0.10633499999999962,-1.2578062113755506,,,,,8.454005,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AP7,,2.308457,0.006209000000000131,0.26969292621820634,,,,,2.302248,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
APJ,,6.951912,-0.038460999999999856,-0.5501995387084474,,,,,6.990373,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
APP,,32.845493,-0.13167500000000132,-0.3992914127738359,,,,,32.977168,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
APT,,0.149281,-0.0009870000000000156,-0.6568264700402052,,,,,0.150268,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ARE,,0.220891,0.00018599999999999173,0.08427539022676955,,,,,0.220705,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ARF,,7.896397,-0.0066910000000000025,-0.08466310890122952,,,,,7.903088,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ARL,,14.981587,0.0024769999999989523,0.016536362974829293,,,,,14.97911,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ARM,,17.78444,-0.025701000000001528,-0.14430542689135098,,,,,17.810141,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ARP,,41.692201,-0.4485349999999997,-1.064373911267235,,,,,42.140736,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AS1,,44.694591,-0.13294499999999942,-0.29656994754295535,,,,,44.827536,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AS3,,0.741771,-0.009850000000000025,-1.3105009040460585,,,,,0.751621,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ASJ,,3.864075,-0.0260659999999997,-0.6700528335605239,,,,,3.890141,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ATJ,,22.282445,-0.1293229999999994,-0.5770316737171267,,,,,22.411768,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AU1,,1.19818,-0.006437000000000026,-0.5343607138202454,,,,,1.204617,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AUT,,9.019635,-0.029222000000000747,-0.32293581388235826,,,,,9.048857,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AUV,,46.706428,-0.16062799999999555,-0.34273115000011,,,,,46.867056,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AVC,,143.411834,-2.9027539999999874,-1.983912909627294,,,,,146.314588,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AVT,,200.136185,0.34511000000000536,0.17273544376294356,,,,,199.791075,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AVZ,,96.202471,0.028118000000006305,0.029236484699830843,,,,,96.174353,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AY6,,1.31097,-0.0036800000000001276,-0.2799224128095027,,,,,1.31465,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AY7,,1.480867,0.0017089999999999606,0.11553870512818513,,,,,1.479158,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AYA,,19.080596,-0.060399000000000314,-0.31554785945035935,,,,,19.140995,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AYR,,0.123668,0.00026800000000000435,0.21717990275527096,,,,,0.1234,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AZF,,0.162932,0.00036899999999998045,0.22698892121822334,,,,,0.162563,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AZJ,,18.122964,-0.013597000000000747,-0.07497011147813937,,,,,18.136561,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AZV,,24.987746,-0.01328499999999977,-0.05313780859677254,,,,,25.001031,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AZZ,,58.854831,0.0180429999999987,0.03066618796389548,,,,,58.836788,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BA1,,1.389822,0.007715999999999834,0.5582784533168826,,,,,1.382106,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BAC,,7.746679,-0.264130999999999,-3.2971821825757823,,,,,8.01081,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BAG,,0.896412,-0.0010350000000000081,-0.11532714466703975,,,,,0.897447,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BAL,,46.392843,-0.012709999999998445,-0.027388963557870856,,,,,46.405553,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BAO,,3.281185,-0.01608500000000035,-0.48782780906629875,,,,,3.29727,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BAS,,50.151372,-0.015988000000000113,-0.031869326988703636,,,,,50.16736,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBF,,3.184743,0.005720000000000169,0.17992949406154563,,,,,3.179023,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBI,,1.627875,-0.007398000000000016,-0.45240152561682456,,,,,1.635273,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBN,,0.637654,-0.007974999999999954,-1.2352295203592085,,,,,0.645629,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBO,,2.087305,-0.09838899999999962,-4.50149929496076,,,,,2.185694,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBP,,2.058934,-0.0019059999999999633,-0.09248655887890198,,,,,2.06084,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BBS,,1.384526,0.0036089999999999733,0.2613480752282703,,,,,1.380917,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BCC,,63.788126,0.1689659999999975,0.26558980030543866,,,,,63.61916,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BCK,,1.778653,-0.004416999999999893,-0.24771882203165851,,,,,1.78307,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BCO,,1.704858,0.0014369999999999106,0.08435965037415358,,,,,1.703421,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDA,,53.266649,-0.062412999999999386,-0.11703374794028701,,,,,53.329062,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDC,,9.111173,0.0015850000000003917,0.017399250108790777,,,,,9.109588,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDI,,0.528781,-0.0041800000000000725,-0.7842975377185334,,,,,0.532961,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDO,,2.790593,0.028633999999999826,1.0367279166707335,,,,,2.761959,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDS,,2.417175,0.015792999999999946,0.6576629624108096,,,,,2.401382,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BDY,,1.58974,-0.0022360000000001268,-0.14045437870923472,,,,,1.591976,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BFE,,1.753381,-0.006543999999999883,-0.3718340270181902,,,,,1.759925,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BFO,,49.819677,-0.026859000000001743,-0.053883383190362,,,,,49.846536,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BFS,,1.043566,-0.0013940000000001174,-0.13340223549227886,,,,,1.04496,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BFT,,1.207178,-0.014307999999999987,-1.1713601302020642,,,,,1.221486,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BGH,,2.123661,-0.039200000000000124,-1.8124142050737484,,,,,2.162861,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BGP,,5.75405,0.012031000000000347,0.20952560414725807,,,,,5.742019,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHA,,1.559506,-0.004993000000000025,-0.3191437003155659,,,,,1.564499,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHE,,1.909059,0.0042280000000001206,0.22196194833033067,,,,,1.904831,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHF,,3.001991,-0.010256000000000043,-0.34047672717410105,,,,,3.012247,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHH,,0.5699,0.001210999999999962,0.21294591595757295,,,,,0.568689,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHI,,2.071434,0.0065390000000000725,0.3166746977449252,,,,,2.064895,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
BHL,,1.207403,-0.001354999999999995,-0.11209853419791183,,,,,1.208758,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
